Scenario,Augmentation,Model,Class,Precision,Recall,F1-Score,Support,TotalSamples
Test2,CVAE,LogReg-100ep-avg,BENIGN,0.9975821858567571,0.9699333333333333,0.9835563350126876,15000.0,50000.0
Test2,CVAE,LogReg-100ep-avg,DoS Slowhttptest,0.8997418757845477,0.9319393939393941,0.9155137779086967,1650.0,5499.0
Test2,CVAE,LogReg-100ep-avg,DoS slowloris,0.8016472304327763,0.964002300172513,0.8749268822104457,1739.0,5796.0
Test2,CVAE,LogReg-10ep-avg,BENIGN,0.9941577338965002,0.9175066666666668,0.9542552140610463,15000.0,50000.0
Test2,CVAE,LogReg-10ep-avg,DoS Slowhttptest,0.7685668616040011,0.8875151515151515,0.8235265704182938,1650.0,5499.0
Test2,CVAE,LogReg-10ep-avg,DoS slowloris,0.6132053797602385,0.9266820011500864,0.7372981248731281,1739.0,5796.0
Test2,CVAE,LogReg-15ep-avg,BENIGN,0.9911587024471133,0.9372400000000001,0.9633811976713164,15000.0,50000.0
Test2,CVAE,LogReg-15ep-avg,DoS Slowhttptest,0.8269861851904092,0.8744242424242424,0.8499377963297345,1650.0,5499.0
Test2,CVAE,LogReg-15ep-avg,DoS slowloris,0.6640554506907426,0.9299022426682001,0.7727741255044357,1739.0,5796.0
Test2,CVAE,LogReg-1ep-avg,BENIGN,0.9293232960651986,0.8741199999999999,0.900872475197669,15000.0,50000.0
Test2,CVAE,LogReg-1ep-avg,DoS Slowhttptest,0.5318501769908481,0.6202424242424243,0.5725708934188957,1650.0,5499.0
Test2,CVAE,LogReg-1ep-avg,DoS slowloris,0.40739715328926546,0.5516388729154686,0.46865604626508695,1739.0,5796.0
Test2,CVAE,LogReg-20ep-avg,BENIGN,0.9909112328308882,0.9417866666666667,0.9656836772628683,15000.0,50000.0
Test2,CVAE,LogReg-20ep-avg,DoS Slowhttptest,0.8600081748427326,0.8836363636363636,0.8716088839152359,1650.0,5499.0
Test2,CVAE,LogReg-20ep-avg,DoS slowloris,0.6720509538811947,0.9352501437607821,0.7807896726346115,1739.0,5796.0
Test2,CVAE,LogReg-25ep-avg,BENIGN,0.9930141846139764,0.94818,0.9700509207683942,15000.0,50000.0
Test2,CVAE,LogReg-25ep-avg,DoS Slowhttptest,0.8751228091968006,0.8927878787878788,0.8838041588818237,1650.0,5499.0
Test2,CVAE,LogReg-25ep-avg,DoS slowloris,0.6934196415605585,0.9453709028177114,0.7990784411051436,1739.0,5796.0
Test2,CVAE,LogReg-2ep-avg,BENIGN,0.9799352534581445,0.86442,0.9185504437114185,15000.0,50000.0
Test2,CVAE,LogReg-2ep-avg,DoS Slowhttptest,0.5607581539193578,0.8261818181818181,0.6679593023130062,1650.0,5499.0
Test2,CVAE,LogReg-2ep-avg,DoS slowloris,0.5659446850176498,0.8866014951121335,0.6908178920719447,1739.0,5796.0
Test2,CVAE,LogReg-30ep-avg,BENIGN,0.9942835700076535,0.9503666666666668,0.9718103935165333,15000.0,50000.0
Test2,CVAE,LogReg-30ep-avg,DoS Slowhttptest,0.8651717499963698,0.9016363636363636,0.8829270712136361,1650.0,5499.0
Test2,CVAE,LogReg-30ep-avg,DoS slowloris,0.7074844915602605,0.9450258769407706,0.8084139969917036,1739.0,5796.0
Test2,CVAE,LogReg-3ep-avg,BENIGN,0.9859188901898474,0.8571066666666667,0.9170030400328738,15000.0,50000.0
Test2,CVAE,LogReg-3ep-avg,DoS Slowhttptest,0.6781610291289333,0.816969696969697,0.7410755462229213,1650.0,5499.0
Test2,CVAE,LogReg-3ep-avg,DoS slowloris,0.47468877209313354,0.916561242093157,0.6253414436269509,1739.0,5796.0
Test2,CVAE,LogReg-50ep-avg,BENIGN,0.9973204612485944,0.96516,0.9809725426356847,15000.0,50000.0
Test2,CVAE,LogReg-50ep-avg,DoS Slowhttptest,0.8892558136369146,0.915939393939394,0.9023671924551332,1650.0,5499.0
Test2,CVAE,LogReg-50ep-avg,DoS slowloris,0.7718442202102789,0.9637147786083956,0.8570049675972461,1739.0,5796.0
Test2,CVAE,LogReg-5ep-avg,BENIGN,0.991315987536608,0.8360133333333334,0.9070337761084837,15000.0,50000.0
Test2,CVAE,LogReg-5ep-avg,DoS Slowhttptest,0.6760775538008531,0.8213333333333332,0.7411941634008945,1650.0,5499.0
Test2,CVAE,LogReg-5ep-avg,DoS slowloris,0.4394781483544068,0.9384128809660724,0.5980282698049734,1739.0,5796.0
Test2,CVAE,MLP-100ep-avg,BENIGN,0.9658702931986933,0.9730333333333332,0.9684813119578578,15000.0,50000.0
Test2,CVAE,MLP-100ep-avg,DoS Slowhttptest,0.8527135506034812,0.8036363636363637,0.7861341165464062,1650.0,5499.0
Test2,CVAE,MLP-100ep-avg,DoS slowloris,0.8132929448392684,0.7172512938470386,0.7119586195651151,1739.0,5796.0
Test2,CVAE,MLP-10ep-avg,BENIGN,0.964558867055759,0.9678533333333335,0.9660573048319208,15000.0,50000.0
Test2,CVAE,MLP-10ep-avg,DoS Slowhttptest,0.8463909493919252,0.8140000000000001,0.8273073517654765,1650.0,5499.0
Test2,CVAE,MLP-10ep-avg,DoS slowloris,0.766027539319614,0.7528464634847614,0.7501310434794008,1739.0,5796.0
Test2,CVAE,MLP-15ep-avg,BENIGN,0.9724233544443553,0.9707266666666665,0.9714373184232091,15000.0,50000.0
Test2,CVAE,MLP-15ep-avg,DoS Slowhttptest,0.8594564826800871,0.8300000000000001,0.838004103186105,1650.0,5499.0
Test2,CVAE,MLP-15ep-avg,DoS slowloris,0.7673165612693811,0.7792984473835538,0.7652410818501588,1739.0,5796.0
