Seed,Scenario,Augmentation,Model,Class,Precision,Recall,F1-Score,Support,TotalSamples
1674292617,Test2,None,MLP-1ep-s1674292617,BENIGN,0.962510460251046,0.7668,0.8535807050092764,15000.0,50000
1674292617,Test2,None,MLP-1ep-s1674292617,DoS Slowhttptest,0.3035331905781585,0.6872727272727273,0.42109171927218714,1650.0,5499
1674292617,Test2,None,MLP-1ep-s1674292617,DoS slowloris,0.5172031076581576,0.8039102932719954,0.6294461954074742,1739.0,5796
1674292617,Test2,None,LogReg-1ep-s1674292617,BENIGN,0.9332566168009206,0.8650666666666667,0.8978688070855245,15000.0,50000
1674292617,Test2,None,LogReg-1ep-s1674292617,DoS Slowhttptest,0.5204081632653061,0.68,0.5895953757225434,1650.0,5499
1674292617,Test2,None,LogReg-1ep-s1674292617,DoS slowloris,0.40446543580936023,0.5416906267970097,0.4631268436578171,1739.0,5796
1674292617,Test2,None,RF-1ep-s1674292617,BENIGN,0.9992005329780147,0.9998666666666667,0.9995334888370543,15000.0,50000
1674292617,Test2,None,RF-1ep-s1674292617,DoS Slowhttptest,0.9963614311704063,0.9957575757575757,0.9960594119430131,1650.0,5499
1674292617,Test2,None,RF-1ep-s1674292617,DoS slowloris,0.9965317919075144,0.9913743530764807,0.9939463822427212,1739.0,5796
1674292617,Test2,None,XGB-1ep-s1674292617,BENIGN,0.9994003597841296,1.0,0.9997000899730081,15000.0,50000
1674292617,Test2,None,XGB-1ep-s1674292617,DoS Slowhttptest,0.9969678593086719,0.9963636363636363,0.9966656562594726,1650.0,5499
1674292617,Test2,None,XGB-1ep-s1674292617,DoS slowloris,0.9971114962449451,0.99252443933295,0.9948126801152738,1739.0,5796
1674292617,Test2,None,MLP-2ep-s1674292617,BENIGN,0.9368723098995696,0.9577333333333333,0.9471879738906838,15000.0,50000
1674292617,Test2,None,MLP-2ep-s1674292617,DoS Slowhttptest,0.7338663620788121,0.7787878787878788,0.7556600999705969,1650.0,5499
1674292617,Test2,None,MLP-2ep-s1674292617,DoS slowloris,0.7760736196319018,0.581943645773433,0.6651330923430825,1739.0,5796
1674292617,Test2,None,LogReg-2ep-s1674292617,BENIGN,0.9813412444375049,0.838,0.9040238771620699,15000.0,50000
