Seed,Scenario,Augmentation,Model,ActualClass,Pred_BENIGN,Pred_DoS Slowhttptest,Pred_DoS slowloris
1674292617,Test2,None,MLP-1ep-s1674292617,BENIGN,11502,2541,957
1674292617,Test2,None,MLP-1ep-s1674292617,DoS Slowhttptest,168,1134,348
1674292617,Test2,None,MLP-1ep-s1674292617,DoS slowloris,280,61,1398
1674292617,Test2,None,LogReg-1ep-s1674292617,BENIGN,12976,992,1032
1674292617,Test2,None,LogReg-1ep-s1674292617,DoS Slowhttptest,173,1122,355
1674292617,Test2,None,LogReg-1ep-s1674292617,DoS slowloris,755,42,942
1674292617,Test2,None,RF-1ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,None,RF-1ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,None,RF-1ep-s1674292617,DoS slowloris,10,5,1724
1674292617,Test2,None,XGB-1ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,None,XGB-1ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,None,XGB-1ep-s1674292617,DoS slowloris,8,5,1726
1674292617,Test2,None,MLP-2ep-s1674292617,BENIGN,14366,372,262
1674292617,Test2,None,MLP-2ep-s1674292617,DoS Slowhttptest,335,1285,30
1674292617,Test2,None,MLP-2ep-s1674292617,DoS slowloris,633,94,1012
1674292617,Test2,None,LogReg-2ep-s1674292617,BENIGN,12570,1248,1182
1674292617,Test2,None,LogReg-2ep-s1674292617,DoS Slowhttptest,138,1389,123
1674292617,Test2,None,LogReg-2ep-s1674292617,DoS slowloris,101,107,1531
1674292617,Test2,None,RF-2ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,None,RF-2ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,None,RF-2ep-s1674292617,DoS slowloris,10,5,1724
1674292617,Test2,None,XGB-2ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,None,XGB-2ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,None,XGB-2ep-s1674292617,DoS slowloris,8,5,1726
1674292617,Test2,None,MLP-3ep-s1674292617,BENIGN,14353,184,463
1674292617,Test2,None,MLP-3ep-s1674292617,DoS Slowhttptest,172,1306,172
1674292617,Test2,None,MLP-3ep-s1674292617,DoS slowloris,533,117,1089
1674292617,Test2,None,LogReg-3ep-s1674292617,BENIGN,12529,973,1498
1674292617,Test2,None,LogReg-3ep-s1674292617,DoS Slowhttptest,119,1371,160
1674292617,Test2,None,LogReg-3ep-s1674292617,DoS slowloris,33,115,1591
1674292617,Test2,None,RF-3ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,None,RF-3ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,None,RF-3ep-s1674292617,DoS slowloris,10,5,1724
1674292617,Test2,None,XGB-3ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,None,XGB-3ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,None,XGB-3ep-s1674292617,DoS slowloris,8,5,1726
1674292617,Test2,None,MLP-5ep-s1674292617,BENIGN,14402,323,275
1674292617,Test2,None,MLP-5ep-s1674292617,DoS Slowhttptest,167,1348,135
1674292617,Test2,None,MLP-5ep-s1674292617,DoS slowloris,535,107,1097
1674292617,Test2,None,LogReg-5ep-s1674292617,BENIGN,12411,621,1968
1674292617,Test2,None,LogReg-5ep-s1674292617,DoS Slowhttptest,6,1445,199
1674292617,Test2,None,LogReg-5ep-s1674292617,DoS slowloris,4,110,1625
1674292617,Test2,None,RF-5ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,None,RF-5ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,None,RF-5ep-s1674292617,DoS slowloris,10,5,1724
1674292617,Test2,None,XGB-5ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,None,XGB-5ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,None,XGB-5ep-s1674292617,DoS slowloris,8,5,1726
1674292617,Test2,None,MLP-10ep-s1674292617,BENIGN,14522,101,377
1674292617,Test2,None,MLP-10ep-s1674292617,DoS Slowhttptest,227,1289,134
1674292617,Test2,None,MLP-10ep-s1674292617,DoS slowloris,249,86,1404
1674292617,Test2,None,LogReg-10ep-s1674292617,BENIGN,14207,194,599
1674292617,Test2,None,LogReg-10ep-s1674292617,DoS Slowhttptest,63,1472,115
1674292617,Test2,None,LogReg-10ep-s1674292617,DoS slowloris,13,104,1622
1674292617,Test2,None,RF-10ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,None,RF-10ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,None,RF-10ep-s1674292617,DoS slowloris,10,5,1724
1674292617,Test2,None,XGB-10ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,None,XGB-10ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,None,XGB-10ep-s1674292617,DoS slowloris,8,5,1726
1674292617,Test2,None,MLP-15ep-s1674292617,BENIGN,13067,674,1259
1674292617,Test2,None,MLP-15ep-s1674292617,DoS Slowhttptest,151,1376,123
1674292617,Test2,None,MLP-15ep-s1674292617,DoS slowloris,224,90,1425
1674292617,Test2,None,LogReg-15ep-s1674292617,BENIGN,14589,190,221
1674292617,Test2,None,LogReg-15ep-s1674292617,DoS Slowhttptest,7,1619,24
1674292617,Test2,None,LogReg-15ep-s1674292617,DoS slowloris,36,73,1630
1674292617,Test2,None,RF-15ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,None,RF-15ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,None,RF-15ep-s1674292617,DoS slowloris,10,5,1724
1674292617,Test2,None,XGB-15ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,None,XGB-15ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,None,XGB-15ep-s1674292617,DoS slowloris,8,5,1726
1674292617,Test2,None,MLP-20ep-s1674292617,BENIGN,14749,189,62
1674292617,Test2,None,MLP-20ep-s1674292617,DoS Slowhttptest,126,1503,21
1674292617,Test2,None,MLP-20ep-s1674292617,DoS slowloris,539,153,1047
1674292617,Test2,None,LogReg-20ep-s1674292617,BENIGN,14622,160,218
1674292617,Test2,None,LogReg-20ep-s1674292617,DoS Slowhttptest,2,1613,35
1674292617,Test2,None,LogReg-20ep-s1674292617,DoS slowloris,9,80,1650
1674292617,Test2,None,RF-20ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,None,RF-20ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,None,RF-20ep-s1674292617,DoS slowloris,10,5,1724
1674292617,Test2,None,XGB-20ep-s1674292617,BENIGN,15000,0,0
